timestamp,pid,event
227,2219,229;RtlEnterCriticalSection;
228,2219,230;RtlAllocateHeap;
229,2219,231;RtlAllocateHeap;
230,2219,232;RtlLeaveCriticalSection;
231,2219,233;RtlEnterCriticalSection;
232,2219,234;RtlAllocateHeap;
233,2219,235;RtlAllocateHeap;
234,2219,236;RtlLeaveCriticalSection;
235,2219,237;RtlEnterCriticalSection;
236,2219,238;RtlAllocateHeap;
237,2219,239;RtlAllocateHeap;
238,2219,240;RtlReAllocateHeap;
239,2219,241;RtlLeaveCriticalSection;
240,2219,242;RtlEnterCriticalSection;
241,2219,243;RtlAllocateHeap;
242,2219,244;RtlAllocateHeap;
243,2219,245;RtlLeaveCriticalSection;
244,2219,246;RtlEnterCriticalSection;
245,2219,247;RtlAllocateHeap;
246,2219,248;RtlAllocateHeap;
247,2219,249;RtlLeaveCriticalSection;
248,2219,250;RtlEnterCriticalSection;
249,2219,251;RtlAllocateHeap;
250,2219,252;RtlAllocateHeap;
251,2219,253;RtlLeaveCriticalSection;
252,2219,254;RtlEnterCriticalSection;
253,2219,255;RtlAllocateHeap;
254,2219,256;RtlAllocateHeap;
255,2219,257;RtlReAllocateHeap;
256,2219,258;RtlLeaveCriticalSection;
257,2219,259;RtlEnterCriticalSection;
258,2219,260;RtlAllocateHeap;
259,2219,261;RtlAllocateHeap;
260,2219,262;RtlLeaveCriticalSection;
261,2219,263;RtlEnterCriticalSection;
262,2219,264;RtlAllocateHeap;
263,2219,265;RtlAllocateHeap;
264,2219,266;RtlLeaveCriticalSection;
265,2219,267;RtlEnterCriticalSection;
266,2219,268;RtlAllocateHeap;
267,2219,269;RtlAllocateHeap;
268,2219,270;RtlLeaveCriticalSection;
269,2219,271;RtlEnterCriticalSection;
270,2219,272;RtlAllocateHeap;
271,2219,273;RtlAllocateHeap;
272,2219,274;RtlReAllocateHeap;
273,2219,275;RtlLeaveCriticalSection;
274,2219,276;RtlEnterCriticalSection;
275,2219,277;RtlAllocateHeap;
276,2219,278;RtlAllocateHeap;
277,2219,279;RtlLeaveCriticalSection;
278,2219,280;RtlEnterCriticalSection;
279,2219,281;RtlAllocateHeap;
280,2219,282;RtlAllocateHeap;
281,2219,283;RtlLeaveCriticalSection;
282,2219,284;RtlEnterCriticalSection;
283,2219,285;RtlAllocateHeap;
284,2219,286;RtlAllocateHeap;
285,2219,287;RtlLeaveCriticalSection;
286,2219,288;RtlEnterCriticalSection;
287,2219,289;RtlAllocateHeap;
288,2219,290;RtlAllocateHeap;
289,2219,291;RtlReAllocateHeap;
290,2219,292;RtlLeaveCriticalSection;
291,2219,293;RtlEnterCriticalSection;
292,2219,294;RtlAllocateHeap;
293,2219,295;RtlAllocateHeap;
294,2219,296;RtlLeaveCriticalSection;
295,2219,297;RtlEnterCriticalSection;
296,2219,298;RtlAllocateHeap;
297,2219,299;RtlAllocateHeap;
298,2219,300;RtlLeaveCriticalSection;
299,2219,301;RtlEnterCriticalSection;
300,2219,302;RtlAllocateHeap;
301,2219,303;RtlAllocateHeap;
302,2219,304;RtlLeaveCriticalSection;
303,2219,305;RtlEnterCriticalSection;
304,2219,306;RtlAllocateHeap;
305,2219,307;RtlAllocateHeap;
306,2219,308;RtlReAllocateHeap;
307,2219,309;RtlLeaveCriticalSection;
308,2219,310;RtlEnterCriticalSection;
309,2219,311;RtlAllocateHeap;
310,2219,312;RtlAllocateHeap;
311,2219,313;RtlLeaveCriticalSection;
312,2219,314;RtlEnterCriticalSection;
313,2219,315;RtlAllocateHeap;
314,2219,316;RtlAllocateHeap;
315,2219,317;RtlLeaveCriticalSection;
316,2219,318;RtlEnterCriticalSection;
317,2219,319;RtlAllocateHeap;
318,2219,320;RtlAllocateHeap;
319,2219,321;RtlLeaveCriticalSection;
320,2219,322;RtlEnterCriticalSection;
321,2219,323;RtlAllocateHeap;
322,2219,324;RtlAllocateHeap;
323,2219,325;RtlReAllocateHeap;
324,2219,326;RtlLeaveCriticalSection;
325,2219,327;RtlEnterCriticalSection;
326,2219,328;RtlAllocateHeap;
327,2219,329;RtlAllocateHeap;
328,2219,330;RtlLeaveCriticalSection;
329,2219,331;RtlEnterCriticalSection;
330,2219,332;RtlAllocateHeap;
331,2219,333;RtlAllocateHeap;
332,2219,334;RtlLeaveCriticalSection;
333,2219,335;RtlEnterCriticalSection;
334,2219,336;RtlAllocateHeap;
335,2219,337;RtlAllocateHeap;
336,2219,338;RtlLeaveCriticalSection;
337,2219,339;RtlEnterCriticalSection;
338,2219,340;RtlAllocateHeap;
339,2219,341;RtlAllocateHeap;
340,2219,342;RtlReAllocateHeap;
341,2219,343;RtlLeaveCriticalSection;
342,2219,344;RtlEnterCriticalSection;
343,2219,345;RtlAllocateHeap;
344,2219,346;RtlAllocateHeap;
345,2219,347;RtlLeaveCriticalSection;
346,2219,348;RtlEnterCriticalSection;
347,2219,349;RtlAllocateHeap;
348,2219,350;RtlAllocateHeap;
349,2219,351;RtlLeaveCriticalSection;
350,2219,352;RtlEnterCriticalSection;
351,2219,353;RtlAllocateHeap;
352,2219,354;RtlAllocateHeap;
353,2219,355;RtlLeaveCriticalSection;
354,2219,356;RtlEnterCriticalSection;
355,2219,357;RtlAllocateHeap;
356,2219,358;RtlAllocateHeap;
357,2219,359;RtlReAllocateHeap;
358,2219,360;RtlLeaveCriticalSection;
359,2219,361;RtlEnterCriticalSection;
360,2219,362;RtlAllocateHeap;
361,2219,363;RtlAllocateHeap;
362,2219,364;RtlLeaveCriticalSection;
363,2219,365;RtlEnterCriticalSection;
364,2219,366;RtlAllocateHeap;
365,2219,367;RtlAllocateHeap;
366,2219,368;RtlLeaveCriticalSection;
367,2219,369;RtlEnterCriticalSection;
368,2219,370;RtlAllocateHeap;
369,2219,371;RtlAllocateHeap;
370,2219,372;RtlLeaveCriticalSection;
371,2219,373;RtlEnterCriticalSection;
372,2219,374;RtlAllocateHeap;
373,2219,375;RtlAllocateHeap;
374,2219,376;RtlReAllocateHeap;
375,2219,377;RtlLeaveCriticalSection;
376,2219,378;RtlEnterCriticalSection;
377,2219,379;RtlAllocateHeap;
378,2219,380;RtlAllocateHeap;
379,2219,381;RtlLeaveCriticalSection;
380,2219,382;RtlEnterCriticalSection;
381,2219,383;RtlAllocateHeap;
382,2219,384;RtlAllocateHeap;
383,2219,385;RtlLeaveCriticalSection;
384,2219,386;RtlEnterCriticalSection;
385,2219,387;RtlAllocateHeap;
386,2219,388;RtlAllocateHeap;
387,2219,389;RtlLeaveCriticalSection;
388,2219,390;RtlEnterCriticalSection;
389,2219,391;RtlAllocateHeap;
390,2219,392;RtlAllocateHeap;
391,2219,393;RtlReAllocateHeap;
392,2219,394;RtlLeaveCriticalSection;
393,2219,395;RtlEnterCriticalSection;
394,2219,396;RtlAllocateHeap;
395,2219,397;RtlAllocateHeap;
396,2219,398;RtlLeaveCriticalSection;
397,2219,399;RtlEnterCriticalSection;
398,2219,400;RtlAllocateHeap;
399,2219,401;RtlAllocateHeap;
400,2219,402;RtlLeaveCriticalSection;
401,2219,403;RtlEnterCriticalSection;
402,2219,404;RtlAllocateHeap;
403,2219,405;RtlAllocateHeap;
404,2219,406;RtlLeaveCriticalSection;
405,2219,407;RtlEnterCriticalSection;
406,2219,408;RtlAllocateHeap;
407,2219,409;RtlAllocateHeap;
408,2219,410;RtlReAllocateHeap;
409,2219,411;RtlLeaveCriticalSection;
410,2219,412;RtlEnterCriticalSection;
411,2219,413;RtlAllocateHeap;
412,2219,414;RtlAllocateHeap;
413,2219,415;RtlLeaveCriticalSection;
414,2219,416;RtlEnterCriticalSection;
415,2219,417;RtlAllocateHeap;
416,2219,418;RtlAllocateHeap;
417,2219,419;RtlLeaveCriticalSection;
418,2219,420;RtlEnterCriticalSection;
419,2219,421;RtlAllocateHeap;
420,2219,422;RtlAllocateHeap;
421,2219,423;RtlLeaveCriticalSection;
422,2219,424;RtlEnterCriticalSection;
423,2219,425;RtlAllocateHeap;
424,2219,426;RtlAllocateHeap;
425,2219,427;RtlReAllocateHeap;
426,2219,428;RtlLeaveCriticalSection;
427,2219,429;RtlEnterCriticalSection;
428,2219,430;RtlAllocateHeap;
429,2219,431;RtlAllocateHeap;
430,2219,432;RtlLeaveCriticalSection;
431,2219,433;RtlEnterCriticalSection;
432,2219,434;RtlAllocateHeap;
433,2219,435;RtlAllocateHeap;
434,2219,436;RtlLeaveCriticalSection;
435,2219,437;RtlEnterCriticalSection;
436,2219,438;RtlAllocateHeap;
437,2219,439;RtlAllocateHeap;
438,2219,440;RtlLeaveCriticalSection;
439,2219,441;RtlEnterCriticalSection;
440,2219,442;RtlAllocateHeap;
441,2219,443;RtlAllocateHeap;
442,2219,444;RtlReAllocateHeap;
443,2219,445;RtlLeaveCriticalSection;
444,2219,446;RtlEnterCriticalSection;
445,2219,447;RtlAllocateHeap;
446,2219,448;RtlAllocateHeap;
447,2219,449;RtlLeaveCriticalSection;
448,2219,450;RtlEnterCriticalSection;
449,2219,451;RtlAllocateHeap;
450,2219,452;RtlAllocateHeap;
451,2219,453;RtlLeaveCriticalSection;
452,2219,454;RtlEnterCriticalSection;
453,2219,455;RtlAllocateHeap;
454,2219,456;RtlAllocateHeap;
455,2219,457;RtlLeaveCriticalSection;
456,2219,458;RtlEnterCriticalSection;
457,2219,459;RtlAllocateHeap;
458,2219,460;RtlAllocateHeap;
459,2219,461;RtlReAllocateHeap;
460,2219,462;RtlLeaveCriticalSection;
461,2219,463;RtlEnterCriticalSection;
462,2219,464;RtlAllocateHeap;
463,2219,465;RtlAllocateHeap;
464,2219,466;RtlLeaveCriticalSection;
465,2219,467;RtlEnterCriticalSection;
466,2219,468;RtlAllocateHeap;
467,2219,469;RtlAllocateHeap;
468,2219,470;RtlLeaveCriticalSection;
469,2219,471;RtlEnterCriticalSection;
470,2219,472;RtlAllocateHeap;
471,2219,473;RtlAllocateHeap;
472,2219,474;RtlLeaveCriticalSection;
473,2219,475;RtlEnterCriticalSection;
474,2219,476;RtlAllocateHeap;
475,2219,477;RtlAllocateHeap;
476,2219,478;RtlReAllocateHeap;
477,2219,479;RtlLeaveCriticalSection;
478,2219,480;RtlEnterCriticalSection;
479,2219,481;RtlAllocateHeap;
480,2219,482;RtlAllocateHeap;
481,2219,483;RtlLeaveCriticalSection;
482,2219,484;RtlEnterCriticalSection;
483,2219,485;RtlAllocateHeap;
484,2219,486;RtlAllocateHeap;
485,2219,487;RtlLeaveCriticalSection;
486,2219,488;RtlEnterCriticalSection;
487,2219,489;RtlAllocateHeap;
488,2219,490;RtlAllocateHeap;
489,2219,491;RtlLeaveCriticalSection;
490,2219,492;RtlEnterCriticalSection;
491,2219,493;RtlAllocateHeap;
492,2219,494;RtlAllocateHeap;
493,2219,495;RtlReAllocateHeap;
494,2219,496;RtlLeaveCriticalSection;
495,2219,497;RtlEnterCriticalSection;
496,2219,498;RtlAllocateHeap;
497,2219,499;RtlAllocateHeap;
498,2219,500;RtlLeaveCriticalSection;
499,2219,501;RtlEnterCriticalSection;
